ID;question;réponse_1;réponse_2;réponse_3;réponse_4;bonne_réponse;catégorie
7839;Quand a eu lieu la première manœuvre d'amarrage avec deux capsules spatiales habitées dans l'espace ?;3 mars 1969 avec Apollo 9 et Apollo 10;15 mai 1963 avec Mercury 8 et Mercury 9;16 mars 1966 avec Gemini 8 et Gemini 9;16 janvier 1969 avec Soyouz 4 et Soyouz 5;4;Air & Espace
11242;Qu'était la "ligne Maginot" ?;Une partie des anciennes fortifications frontalières de la RDA;Une ceinture d'énormes bunkers en béton;L'ancienne frontière entre le Nord et le Sud Vietnam;Un blocus naval;2;Histoire
1475;De quelle opérette provient la mélodie "Grüß euch Gott, alle miteinander" ?;Le Marchand d'oiseaux;La Chauve-souris;Le Baron tzigane;Le Bal à l'Opéra;1;Musique
25135;Pour le traitement de quelle maladie utilise-t-on la quinine ?;Hépatite;Malaria;Peste;Tuberculose;2;Médecine
14560;Quel nom ne désigne PAS la même personne ?;Amenhotep;Aménophis;Mentuhotep;Akhenaton;3;Histoire
7940;Quand le chancelier Brandt a-t-il effectué une génuflexion passée à la postérité ?;7 décembre 1970;8 septembre 1969;3 octobre 1970;13 novembre 1971;1;Histoire
4923;Dans quel pays se trouve le lac de Thoune ?;Tunisie;Suisse;Autriche;Allemagne;2;Géographie
977;Quel vendredi les bourses mondiales se sont-elles effondrées, déclenchant la Grande Dépression ?;Vendredi noir;Vendredi 13;Vendredi bleu;Vendredi sanglant;1;Économie
13942;Lequel de ces films est sorti en 1981 ?;Le Bateau;Le Pont de la rivière Kwaï;Jurassic Park;Papillon;1;Film
4191;À quel âge est décédée l'épouse du président argentin, Evita Peron, adulée par le peuple ?;33 ans;45 ans;57 ans;63 ans;1;Histoire
20222;Quelle est la capitale de la Bulgarie ?;Budapest;Sofia;Bucarest;Prague;2;Géographie
5782;Dans quelle ville les IVes Jeux olympiques d'été de l'ère moderne ont-ils été ouverts le 27 avril 1908 ?;Saint-Louis;Paris;Amsterdam;Londres;4;Plus de Sport
3544;Laquelle des tâches suivantes n'est PAS du ressort du Bundestag allemand ?;Élire le chancelier fédéral;Contrôler le gouvernement fédéral;Rédiger des lois;Former le cabinet fédéral;4;Saxe-Anhalt
7199;Vicky Leandros chantait dans un de ses tubes "Ja, ja, der ... , der ist schlau" ?;Peter;Rainer;Günter;Theo;1;Schlager
1929;L'ablation chirurgicale d'un membre terminal s'appelle... ?;Hypotrichose;Transplantation;Amputation;Métabolisme;3;Médecine
5641;Dans quelle ville Oscar Wilde est-il décédé ?;Berlin;Lyon;Londres;Paris;4;Personnes
16534;Qui a terminé à la 5e place de la saison 5 de "DSDS" ?;Rania Zeriri;Sahra Drone;Monika Ivkic;Stella Salato;1;Pop
757;940 - 23 x 2 = ?;900;890;895;894;4;Mathématiques
11600;Quel groupe vient de Knittlingen près de Pforzheim ?;Flippers;Truck Stop;Gebrüder Blattschuss;Cindy & Bert;1;Schlager
22104;Combien de fois l'équipe nationale de football de Pologne a-t-elle participé à une finale de Championnat d'Europe jusqu'à présent ?;3 fois;5 fois;1 fois;Jamais;4;Football
23316;Où la Werra prend-elle sa source ?;Dans les monts Métallifères;Dans le Taunus;Dans le massif schisteux de Thuringe;Dans le Fichtelgebirge;3;Géographie
4074;Dans la comédie culte "Nuits blanches à Seattle", la star d'action Bruce Willis prête sa voix à l'enfant de Molly. Quel est son nom ?;Johnny;Jimmy;Mikey;Danny;3;Film
19600;Quel est (selon les classements) le plus grand tube de "2 Unlimited" ?;No Limit;Tribal Dance;Get Ready For This;No One;1;Pop
2049;Tout le monde connaît la comédie musicale "Un violon sur le toit", mais qu'était Anatevka ?;une rivière en Ukraine;la femme du laitier Tevye;un quartier de Moscou;un village ukrainien;4;Plus de Musique
21595;Quel est le surnom du footballeur italien Sebastian Giovinco ?;Fourmi atomique;Abeille fusée;Scarabée explosion;Moustique éclair;1;Football
18558;Qui était le troisième mari d'Elizabeth Taylor ?;Michael Wilding;Richard Burton;Michael Todd;John Warner;3;Stars
13192;À quel hélicoptère le "Piasecki H-21" ressemble-t-il ?;Westland Wasp;Sikorsky S-56;Sikorsky HH-53 C;CH-47 Chinook;4;Air & Espace
2524;L'entraîneur de quel club a déclaré : "Nous voulons devenir champions, nous ne savons juste pas encore dans quel siècle." ?;Arminia Bielefeld;TSG 1899 Hoffenheim;1 FC Köln;Greuther Fürth;1;Football
11482;Quelle "noix" n'existe PAS ?;Noix du Brésil;Noix de cajou;Pécan;Noix de Malben;4;Nutrition
18040;Qui interprète l'inspectrice Eva Saalfeld dans Tatort ?;Eva Mattes;Katharina Böhm;Ulrike Kriener;Simone Thomalla;4;Télévision
2016;Le massif du Karwendel appartient à l'Autriche et... ?;Allemagne;Italie;République tchèque;Suisse;1;Géographie
5918;Jean Giraud a conçu les costumes du film Alien. Quel est le surnom de cet artiste ?;Moebius;HR Giger;Algor;Korn;1;Stars
5329;Dans quelle ville allemande se trouve le lac Baldeney ?;Schwerin;Fribourg;Chemnitz;Essen;4;Géographie
17869;Qui a composé la musique du film "Pour le pire et pour le meilleur" ?;Mychael Danna;Jean-Michel Defaye;Thomas Newman;Hans Zimmer;4;Musique de film
2417;L'athlète et champion olympique Martin Lauer voulait percer comme chanteur de Schlager avec... ?;l'Automobile pour Kiel;le Vélo pour Paris;le Taxi pour le Texas;le Canot pneumatique pour l'Amérique;3;Schlager
4782;Dans quel pays se trouve le Salto Ángel, la plus haute chute d'eau de la Terre ?;Argentine;Venezuela;Pérou;Bolivie;2;Voyage
10371;Quel élément n'est PAS typique du trouble du sommeil "parasomnie" ?;Soif intense;Cauchemars;Somnambulisme;Terreurs nocturnes;1;Médecine
18971;Qui a été assassiné au Lorraine Motel à Memphis ?;Robert Kennedy;John F. Kennedy;Martin Luther King;Sharon Tate;3;Histoire
16589;Celui qui a une "gingivite" souffre de... ?;Pleurésie;Pancréatite;Pneumonie;Gingivite;4;Médecine
7791;Quand a eu lieu la division de l'Empire romain en Orient et Occident ?;395;275;415;535;1;Histoire
4709;En quelle année Hitler est-il devenu chancelier du Reich ?;1936;1933;1927;1923;2;Rhénanie-Palatinat
14565;Quel nom vient du frison et est la forme courte d'Adelheid ?;Linda;Anke;Elke;Heike;3;Langue
13674;Quelle profession était également responsable de l'extraction des dents autrefois ?;Coiffeur;Boucher;Boulanger;Tonnelier;1;Histoire
11929;Laquelle de ces opéras n'est PAS de Giuseppe Verdi ?;Parsifal;Aïda;Nabucco;La Traviata;1;Classique
3176;Dr. Mittendrein-Zwetschger est connu grâce à des sketches avec qui ?;Dieter Hallervorden;Dieter Hildebrand;Diether Krebs;Loriot;3;Plus de Divertissement
8804;Que signifie le nom latin Cölestina ?;la Céleste;la Rayonnante;la Pénitente;l'Arrogante;1;Langue
207;PGP est un programme de chiffrement très connu. Que signifie PGP ?;Pretty Good Prevention;Pretty Good Permission;Pretty Good Privacy;Pretty Good Persistence;3;Numérique
14076;Quel joueur de hockey sur glace est devenu sélectionneur de l'équipe nationale allemande ?;Marco Sturm;Uwe Krupp;Erich Weide;Christian Ehrhoff;2;Sports d'hiver
1115;À quelle équipe l'équipe nationale allemande de football s'est-elle confrontée lors des éliminatoires de l'Euro 2012 ?;Îles Féroé;Azerbaïdjan;Roumanie;Arménie;2;Football
4585;En quelle année Stacy "Fergie" Ferguson a-t-elle rejoint le groupe "The Black Eyed Peas" ?;1989;2005;2003;1999;3;Black & Hip Hop
13681;Quelle célèbre phrase est attribuée au philosophe Sénèque ?;Non scholae, sed vitae discimus;Vitae et scholae discimus;Non vitae, sed scholae discimus;Non scholae, non vitae discimus;3;Généralités
19572;Quel est le proverbe ? Rome ne s'est pas faite...;détruite;explorée;construite;étudiée;3;Proverbes
2266;Le seul président américain qui n'a jamais été élu ou confirmé par le collège électoral était... ?;Jimmy Carter;Ronald W. Reagan;Gerald Ford;Lyndon B. Johnson;3;Plus de Connaissances
17873;Qui a composé la musique du film "Il était une fois en Amérique" ?;Walter Jurmann;John Barry;Ennio Morricone;Michael Kamen;3;Musique de film
1220;Sur quelle île se trouve le Kilauea, le plus grand volcan actif de la Terre ?;Kamchatka;Hawaï;Fidji;Îles Cook;2;Géographie
23418;Où trouve-t-on des "cadenas en U" ?;Sur les camions;Sur les trottinettes pour enfants;Sur les vélos;Sur les voiliers;3;Technologie
17741;Qui a écrit le poème "Die Wittenbergisch Nachtigall" en 1523 ?;Wolfram von Eschenbach;Hans Sachs;Christian Morgenstern;Novalis;2;Littérature
3888;Giovanni Trapattoni est connu pour ses bourdes verbales. Sa phrase la plus célèbre est : "Ich habe..." ;assez;Schluss;Feierabend;fini;4;Football
22078;Combien de fois un président américain peut-il être réélu au maximum ?;deux fois;une fois;pas du tout;illimité;2;Politique
9706;Qu'est-ce que GOLF EUROPE ?;Championnat d'Europe de golf;Premier rang dans le classement européen de golf;Un tournoi de golf interne;Salon international du golf;4;Généralités
10206;Qu'est-ce qu'un sycomore ?;Figuier;Palmier-dattier;Olivier;Laurier-rose;1;Plantes
3330;Une boisson chaude à base de café fort, sucre, rhum et crème fouettée est un... ?;Pharisäer;Thé Hallig;Café frison;Aufsetzer;1;Nutrition
13537;Quelle était la valeur des décorations de l'arbre de Noël installé dans un hôtel de luxe à Abu Dhabi en 2010 ?;1 million de dollars;20,5 millions de dollars;11,5 millions de dollars;52,3 millions de dollars;3;Société
8183;Quand le terme "Internet" a-t-il été utilisé pour la première fois ?;1980;1974;1978;1976;2;Technologie
1862;Colombo est la capitale de quel État ?;Sri Lanka;Thaïlande;Inde;Viêt Nam;1;Géographie
6604;Olaf Malolepski chante maintenant seul des Schlager. Il appartenait auparavant à... ?;les Flippers;le groupe Wind;les Klostertaler;le groupe Pur;1;Schlager
3809;Garmisch-Partenkirchen se situe dans le Land de... ?;Hesse;Bavière;Rhénanie-Palatinat;Sarre;2;Géographie
24632;Vers où les pays en développement exportent-ils principalement ?;Les États-nations;Les États populaires;Les États industrialisés;Tous les États;3;Économie
22038;Comment appelle-t-on les applications et pages Internet qui peuvent être lues et modifiées par les utilisateurs ?;Blogosphère;Page d'accueil;Blog;Wiki;4;Technologie
4591;En quelle année la ceinture de sécurité a-t-elle été présentée pour la première fois au salon de l'automobile IAA ?;1954;1921;1892;1961;4;Voiture & Circulation
15064;Quelle baleine plonge le plus profondément ?;Cachalot;Baleine bleue;Baleine grise;Requin-baleine;1;Animaux
23986;D'où le Titanic a-t-il commencé son voyage inaugural ?;Londres;Rochester;Southampton;Liverpool;3;Histoire
13390;Quel est le rôle du Best Boy dans les productions cinématographiques américaines ?;Il affine les effets visuels en post-production.;Il double les actions risquées de la star.;Il conseille le plateau sur l'utilisation des armes à feu appropriées.;Étant électricien de formation, il assiste pour les questions techniques délicates.;4;Divertissement
24629;D'où vient probablement l'expression "avoir les pieds froids" ?;des jeux d'argent illégaux;de l'alpinisme;des passagers clandestins sur les cargos;de la pénurie de charbon pendant la Première Guerre mondiale;1;Langue
4689;En quelle année l'Exposition internationale de la radio (IFA) a-t-elle été définitivement implantée à Berlin ?;1924;1980;1971;1950;3;Numérique
9227;Laquelle n'est PAS une des tâches de l'ancien soldat dans le conte "La Lumière bleue" ?;Faire les courses de nourriture;Retourner le jardin;Récupérer la lumière bleue du puits vide;Fendre une charge de bois;1;Littérature
12297;Quelle figure historique a inspiré Bram Stoker pour créer le "Comte Dracula" ?;Lucrèce Borgia;Vlad III;Comtesse Báthory;Néron;2;Généralités
11572;Laquelle de ces affirmations sur les naines rouges est vraie ?;Elles ne produisent pas de fusion d'hydrogène;Elles ont une température plus élevée que le soleil;Ce sont les étoiles actives les plus grandes;Ce sont les étoiles actives les plus petites;4;Astronomie
17619;Qui a chanté "Silvermoon-Baby" en 1971 ?;Chris Roberts;Howard Carpendale;Randolph Rose;Bernd Clüver;3;Schlager
24904;Que peuvent former les députés du Bundestag allemand (MdB) ?;Des gangs;Des clubs;Des groupes parlementaires;Des communautés;3;Politique
10068;Quel est un synonyme de "cryptique" ?;mystérieux;significatif;plein d'attente;pressentant;1;Langue
1795;La fleur de l'année 2005 était le Grand... ?;Petit pot;Pot frison;Pot qui claque;Pot à grelot;4;Plantes
8900;Que signifie le nom du dieu Ganesha en sanskrit ?;Seigneur des Éléphants;Seigneur des Armées;Seigneur des Forêts;Seigneur des Hommes;2;Religion & Mythes
13932;Lequel de ces films est sorti en 1968 ?;Le Vol du Phénix;Il était une fois dans l'Ouest;Hatari !;Pas de printemps pour Marnie;2;Film
4949;Dans quel pays se trouve la ville de Lillehammer ?;Danemark;Finlande;Suède;Norvège;4;Géographie
17349;Qui a peint le tableau "Le Triomphe de Galatée" ?;Guido Reni;Le Titien;Le Greco;Raphaël;4;Art
2823;Les oiseaux listés ici sont des oiseaux nicheurs européens. Lequel n'en fait PAS partie ?;Ara rouge;Perruche alexandre;Conure veuve;Perruche à collier;1;Animaux
3406;Une "Pizza Funghi" contient typiquement... ?;Tomates, fromage, jambon, ananas;Tomates, fromage, salami, jambon;Tomates, fromage, anchois, olives;Tomates, fromage, champignons;4;Langue
16348;Qui joue Michelle Pfeiffer dans le film "Wolf" ?;Laura Randall;Charlotte Alden;Charlotte Randall;Laura Alden;4;Film
21546;Quel est le titre complet de la chanson de Marianne Rosenberg : "Er Gehört Zu ..." ?;Mir;Seiner Frau;Ihr;Dir;1;Schlager
15170;Quel livre Gutenberg a-t-il imprimé entre 1452 et 1456 avec sa méthode d'impression nouvellement développée ?;Le Catéchisme;La "Divine Comédie" de Dante Alighieri;La Bible;L'Évangile selon Matthieu;3;Histoire
7095;Sous quel nom le bœuf grognon est-il mieux connu ?;Yak;Bison d'Europe;Buffle;Bison;1;Animaux
5435;Dans quel groupe de hard rock David Lee Roth était-il le premier chanteur ?;Deep Purple;Van Halen;Def Leppard;KISS;2;Rock
16707;Celui qui cherche quelque chose qui n'a que des avantages souhaite proverbialement une... ?;truie laitière laineuse pondeuse d'œufs;abeille à miel viandeuse pondeuse d'œufs;poule laineuse viandeuse productrice de lait;vache laitière pondeuse d'œufs butineuse de nectar;1;Langue
14291;Quel dieu grec est censé avoir planté la première vigne ?;Zeus;Amour;Dionysos;Éros;3;Plus de Connaissances
15186;Quel Land allemand borde le Luxembourg ?;Rhénanie-Palatinat;Bade-Wurtemberg;Rhénanie-du-Nord-Westphalie;Hesse;1;Géographie
13548;Quel "hors-la-loi" était, selon certaines sources, déjà un meurtrier 21 fois à l'âge de 21 ans ?;Schinderhannes;Klaus Störtebecker;Michael Kohlhaas;Billy the Kid;4;Histoire
9612;Quel est le principal composant du Soleil ?;Hydrogène;Hélium;Uranium;Néon;1;Astronomie
10370;Quel élément ne fait PAS partie du code SWIFT ?;Code pays;Code banque;Identification du secteur;Identification de l'agence;3;Économie
5061;Dans quel massif montagneux la rivière Schlitz prend-elle sa source ?;Taunus;Knüll;Rhön;Vogelsberg;4;Géographie
12771;Quelle actrice interprète Anna dans "Un Amour à Sens Unique" ?;Nora Tschirner;Brigitte Zeh;Barbara Rudnik;Alwara Höfels;1;Film
9764;Qu'est-ce que la Tauber ?;Un massif montagneux;Une rivière;Une rue commerçante à Sarrebruck;Un paysage en Saxe-Anhalt;2;Géographie
4095;En Allemagne, on a le droit de vote. Qu'est-ce que cela signifie ?;Tous les habitants d'Allemagne doivent voter;Seules les personnes mariées ont le droit de vote;Seules les personnes ayant un emploi fixe ont le droit de vote;Les citoyens allemands âgés de 18 ans et plus ont le droit de vote;4;Bavière
12315;Quelle île ne fait PAS partie des îles Baléares ?;Minorque;Formentera;Ibiza;Crète;4;Géographie
10734;Que sont les EHEC ?;Bactéries Escherichia (E) coli;Pathogènes Escherichia (E) carotin;Cellules Escherichia (E) crebs;Germes Escherichia (E) cali;1;Médecine
8494;Quand Pékin est-elle devenue la capitale de la dynastie Ming ?;1271;1421;1567;1387;2;Histoire
24827;À quoi sert un bus dans un ordinateur ?;Barre d'état;Programmation;Décodage;Transfert de données au sein d'un système informatique;4;Numérique
20294;Quelle est la capitale du Niger ?;Harare;Dakar;Niamey;Belgrade;3;Géographie
5086;Dans quelle ville se trouve le tremplin de saut à ski Heini Klopfer ?;Klingenthal;Oberwiesenthal;Oberstdorf;Garmisch-Partenkirchen;3;Sports d'hiver
22840;Combien de matchs sur 50 disputés Garrincha a-t-il perdu avec l'équipe nationale brésilienne ?;quatre;un;trois;deux;2;Football
8289;Quand le service de colis américain UPS a-t-il été fondé ?;1917;1938;1889;1907;4;Économie
2255;Le nom complet de l'animateur allemand Thomas Gottschalk est... ?;Thomas Dominik Gottschalk;Thomas Maria Gottschalk;Thomas Joachim Gottschalk;Thomas Johannes Gottschalk;4;Télévision
24818;De quoi sépare-t-on la balle ?;du maïs;du blé;du pavot;du foin;2;Expressions
12686;Quelle provocation Lady Gaga a-t-elle commise lors de son concert dans l'État américain du New Jersey ?;Striptease sur scène;Des tas d'ordures sur scène;Fumer sur scène;Boire sur scène;3;Stars
7577;Qui a dit : "Tous les jours ont la même longueur, mais des largeurs différentes" ?;Hape Kerkeling;Otto;Udo Lindenberg;Jürgen von der Lippe;3;Personnes
4532;En quelle année a eu lieu la première démonstration HDTV à l'IFA ?;1974;2001;1990;1985;4;Numérique
5506;Lors de quelle saison Alberto Tomba est-il devenu vainqueur de la Coupe du monde de ski alpin ?;1993/94;1994/95;1992/93;1995/96;2;Sports d'hiver
14436;Quel compositeur a inventé sa propre variante du jeu d'échecs ?;Paul Hindemith;Olivier Messiaen;Igor Stravinsky;Arnold Schönberg;4;Classique
21386;Combien de temps durent les patchs contraceptifs ?;1 jour;1 mois;1 semaine;12 heures;3;Amour & Sexe
240;Le Spumante est un terme générique pour les vins mousseux de... ?;France;Portugal;Espagne;Italie;4;Nutrition
3166;Dieter Bohlen a trouvé que la candidate Ines Redjeb de la saison 2010 de DSDS ressemblait à ... ?;Beyoncé;Kelly Rowland;Lady Gaga;Britney Spears;1;Télévision
19499;Quel est l'ouvrage principal du judaïsme ?;Talmud;Kabbale;Michna;Thora;1;Religion & Mythes
5062;Dans quel massif montagneux se trouve la crête de grès bigarré "Meulenwald" ?;Taunus;Odenwald;Spessart;Eifel;4;Géographie
20775;Quel était le nom du film de Cimino sur le Vietnam avec Robert de Niro et Meryl Streep ?;Good Morning, Vietnam;Voyage au bout de l'enfer;Apocalypse Now;Platoon;2;Divertissement
674;67 - 34 = ?;33;35;29;38;1;Mathématiques
11266;Fridtjof Nansen n'était PAS... ?;Prix Nobel de la paix;Botaniste;Explorateur polaire;Homme politique;2;Personnes
14958;Quelle star de la danse a joué un rôle principal dans "Xanadu" ?;Patrick Swayze;Gene Kelly;John Travolta;Fred Astaire;2;Film
5749;Dans quelle ville Christoph Waltz est-il né ?;Salzbourg;Vienne;Berlin;Munich;2;Stars
23393;Où se déroule chaque année la fête des enfants "Kinderzeche" ?;Dortmund;Dinkelsbühl;Bochum;Herne;2;Société
2779;La Statue de la Liberté était un cadeau de la France aux États-Unis. À quelle occasion la géante a-t-elle été offerte ?;Fin de la Première Guerre mondiale;À la mémoire des premiers colons français;300e anniversaire de la découverte de l'Amérique;100e anniversaire de la Déclaration d'indépendance;4;Voyage
18458;Qui était "Mister Pumpernickel" ?;Wim Thoelke;Chris Howland;Ilja Richter;Hans Rosenthal;2;Télévision
23356;Où a eu lieu la bataille par laquelle les Normands ont conquis la domination en Angleterre ?;Strasbourg;Middlesbrough;Hastings;Édimbourg;3;Histoire
21750;Comment appelait-on les calvinistes en France au XVIe siècle ?;Huguenots;Vaudois;Albigeois;Cathares;1;Religion & Mythes
13369;Quel roi français a épousé Marie-Antoinette, née à Vienne, future reine de France ?;Louis XIV;Henri IV;Louis XVI;Charles IX;3;Personnes
24586;D'où connaît-on le personnage de bande dessinée "Lurchi" ?;Personnage publicitaire de Romika;Personnage publicitaire pour les chaussures Deichmann;Personnage sympathique de la marque de chaussures Salamander;Mascotte des chaussures Elefanten;3;Généralités
19390;Comment s'appellent les guerres de succession au trône en Angleterre au XVe siècle ?;Guerres des Chevaliers;Guerres des Rois;Guerres des Empereurs;Guerre des Deux-Roses;4;Histoire
23461;Où trouve-t-on le groupe ethnique des Wahhabites ?;Égypte;Azerbaïdjan;Iran;Afghanistan;1;Géographie
23294;Où un braquage de banque en 1988 a-t-il déclenché un drame de prise d'otages de deux jours faisant deux morts ?;Essen;Gladbeck;Bochum;Düsseldorf;2;Généralités
21390;Quels sont les premiers mots de l'hymne national autrichien ?;Land der Arbeiter;Land der Sänger und der Tänzer;Land der Äcker und der Felder;Land der Berge, Land am Strome;4;Généralités
18245;Qui a joué le rôle féminin principal dans "Manhattan" de Woody Allen ?;Diane Keaton;Meryl Streep;Meg Ryan;Sandra Bullock;1;Télévision
16139;Quelle entreprise a été fondée par le maître menuisier Ole Kirk Christiansen en 1932 ?;Husqvarna;Velux;Ikea;Lego;4;Société
17479;Qui ou quoi étaient les Bengler à la fin du XIVe siècle ?;Un groupe itinérant de voleurs et de meurtriers;Une alliance chevaleresque de la noblesse hessoise et westphalienne;Des artisans itinérants de différents métiers;Un petit ordre chrétien;2;Histoire
1250;Sur quelle île des Canaries se trouve le Pico Malpaso, haut de 1501 mètres ?;La Gomera;Lanzarote;Fuerteventura;El Hierro;4;Géographie
19965;Quel est le titre correct de la chanson : Tout a une fin sauf... ?;le saucisson en a deux;je n'en trouve pas;cela m'est égal;tu n'en trouves pas;1;Plus de Musique
20958;Comment s'appelait la barre chocolatée "Twix" en Allemagne avant ?;Raider;Rider;Reider;Flix;1;Économie
8912;Que signifie l'overclocking en langage informatique ?;Arrêter le processeur du PC;Augmenter la fréquence du processeur du PC;Examiner le processeur du PC;Remplacer le processeur du PC;2;Numérique
19422;Comment dit-on "Roumanie" dans la langue nationale ?;Rumania;Romênia;România;Roumanie;3;Langue
791;À partir de quelle ville le Danube est-il navigable ?;Ulm;Ingolstadt;Ratisbonne;Passau;3;Géographie
9074;Ce qui proverbialement entrave vos progrès s'appelle... ?;Une carte maîtresse;Une épine dans le pied;Un boulet au pied;Un cheveu sur la soupe;3;Expressions
2912;Le détroit "Palk" se trouve entre... ?;Mozambique et Madagascar;Turquie et Grèce;Espagne et Maroc;Inde et Sri Lanka;4;Géographie
24943;À quel pays appartient l'île Bouvet ?;États-Unis;Norvège;Canada;Suède;2;Géographie
23310;Où la Sarre prend-elle sa source ?;Forêt-Noire;Hunsrück;Vosges;Taunus;3;Géographie
21078;Quel était le nom d'un duo comique de RDA ?;Rolf Hoppe & Heinz Quermann;Lutz Stückrath & Herbert Köfer;Rolf Herricht & Hans-Joachim Preil;Alfred Müller & Heinz Schubert;3;Télévision
1545;Bad Hersfeld se situe dans le Land de... ?;Sarre;Thuringe;Basse-Saxe;Hesse;4;Géographie
344;11 x 22 = ?;231;222;242;262;3;Mathématiques
10645;Que disait Confucius ? "Seuls les plus sages et les plus stupides... ;ne peuvent changer";profitent de la vie";changent le monde";restent en vie";1;Proverbes
7240;Par quel président fédéral Helmut Kohl a-t-il été assermenté lors de sa première élection comme chancelier ?;Roman Herzog;Walter Scheel;Karl Carstens;Richard von Weizsäcker;3;Politique
17528;Qui a dit "Toute connaissance naît d'un doute et se termine dans une croyance" ?;Annette von Droste-Hülshoff;Katharina von Bora;Marie von Ebner-Eschenbach;Hildegarde de Bingen;3;Personnes
4039;Dans quelle partie d'Alien Winona Ryder a-t-elle joué ?;quatrième;troisième;deuxième;première;1;Divertissement
7319;De quel club le footballeur "Hulk" a-t-il été transféré au FC Porto en 2008 ?;Vissel Kobe;Tokyo Verdy;Sagan Tosu;Kawasaki Frontale;2;Football
24671;Comment David a-t-il vaincu le géant Goliath ?;à mains nues;avec une épée;avec une fronde;avec du poison;3;Religion & Mythes
24202;Où est née la politicienne allemande Rita Süssmuth ?;Wuppertal;Hanovre;Leverkusen;Heidelberg;1;Personnes
13856;Quel rappeur allemand est un "Rebelle sans cause" ?;Casper;Prinz Pi;Cro;Vega;2;Black & Hip Hop
4666;En quelle année le dernier Hohenstaufen, Conradin, a-t-il été exécuté ?;1012;1268;1156;1304;2;Histoire
